date,S. No.,open,high,low,close,adjusted close,volume,dividend amount,split cf
2021-06-10,118,151.47,152.84,149.76,150.54,140.3630729,4758488,0,1
2021-06-09,119,149.03,151.07,148.82,150.67,140.4842846,5303252,0,1
2021-06-08,120,148.12,150.2,148.12,149.07,138.9924491,5080099,0,1
2021-06-07,121,147.55,148.74,147.17,148.02,138.013432,3462712,0,1
2021-06-04,122,146,147.55,145.76,147.42,137.4539937,3117905,0,1
2021-06-03,123,144.91,145.88,144.04,145.55,135.710411,4130741,0,1
2021-06-02,124,144.62,145.75,144.11,145.72,135.8689185,2786916,0,1
2021-06-01,125,145,145.83,143.75,144.19,134.4423508,2417455,0,1
2021-05-28,126,144.21,144.33,143.485,143.74,134.022772,2534811,0,1
2021-05-27,127,143.82,144.77,143.63,143.82,134.0973638,5630345,0,1
2021-05-26,128,143.5,143.9894,143.04,143.38,133.6871091,3083789,0,1
2021-05-25,129,144.92,145,143.2,143.79,134.0693919,3937323,0,1
2021-05-24,130,145.06,145.39,144.18,144.72,134.9365213,3297570,0,1
2021-05-21,131,144.28,145.699,144.28,144.74,134.9551692,4033482,0,1
2021-05-20,132,143.12,144.91,142.16,143.88,134.1533076,4112690,0,1
2021-05-19,133,142.32,143.2,140.92,143.19,133.5099536,4300732,0,1
2021-05-18,134,144.78,145.3,143.23,143.91,134.1812796,3824050,0,1
2021-05-17,135,144.44,145.8,144.33,145.11,135.3001562,4275172,0,1
2021-05-14,136,145.11,145.69,143.96,144.68,134.8992254,2747385,0,1
2021-05-13,137,141.45,144.9,141.28,144.17,134.4237028,4598920,0,1
2021-05-12,138,143.84,144.15,141.14,141.3,131.7477229,5959579,0,1
2021-05-11,139,144.99,145.19,142.9,144.22,134.4703227,7126404,0,1
2021-05-10,140,145.8,148.38,145.8,146.17,136.2884972,6983377,0,1
2021-05-07,141,145.92,146.14,144.57,145.46,135.6264952,7003467,1.64,1
2021-05-06,142,145.26,148.515,145.18,148.42,136.8435379,7503487,0,1
2021-05-05,143,145.94,145.94,144.97,145.22,133.8931314,4999900,0,1
2021-05-04,144,144.41,146.59,144.33,145.75,134.3817925,6350479,0,1
2021-05-03,145,143.81,145.75,143.55,144.75,133.4597905,5733463,0,1
2021-04-30,146,143.7,143.83,140.55,141.88,130.8136447,8872181,0,1
2021-04-29,147,144.13,148.74,142.98,144.24,132.9895695,4353880,0,1
2021-04-28,148,142.92,143.4,142.1,143,131.846287,3768129,0,1
2021-04-27,149,141.69,142.56,140.75,142.01,130.933505,3884037,0,1
2021-04-26,150,142.42,143.63,141.48,141.57,130.5278241,4710763,0,1
2021-04-23,151,141.31,143.61,140.95,142.43,131.3207458,4556700,0,1
2021-04-22,152,143.7,144.74,141,141.28,130.2604435,7101368,0,1
2021-04-21,153,138.06,143.73,137.71,143.55,132.3533881,11909005,0,1
2021-04-20,154,137.07,139.77,136.7,138.16,127.3837973,15480579,0,1
2021-04-19,155,133.6,133.815,132.58,133.12,122.7369071,8198582,0,1
2021-04-16,156,133,134.1,132.95,133.59,123.1702481,5291756,0,1
2021-04-15,157,133.28,133.87,132.22,132.58,122.2390261,3883955,0,1
2021-04-14,158,131.305,132.78,130.52,132.63,122.2851262,5868049,0,1
2021-04-13,159,133,133.62,130.38,131.18,120.9482233,8033530,0,1
2021-04-12,160,135.02,135.37,133.85,134.59,124.0922501,3753959,0,1
2021-04-09,161,134.87,135.74,134.71,135.73,125.1433324,3023916,0,1
2021-04-08,162,134.57,135.6299,134.16,135.12,124.5809112,4087228,0,1
2021-04-07,163,133.84,134.94,133.78,134.93,124.4057308,2976136,0,1
2021-04-06,164,135.58,135.64,134.09,134.22,123.7511094,3620964,0,1
2021-04-05,165,133.64,136.69,133.4,135.93,125.3277328,5471616,0,1
2021-04-01,166,133.76,133.93,132.27,133.23,122.8383274,4074161,0,1
2021-03-31,167,134.54,134.71,132.71,133.26,122.8659874,4945315,0,1
2021-03-30,168,135.86,136.27,134.02,134.72,124.2121104,4790366,0,1
2021-03-29,169,135.98,137.07,135.51,135.86,125.2631926,4622664,0,1
2021-03-26,170,133.29,136.48,133.12,136.38,125.7426337,5567592,0,1
2021-03-25,171,130.33,133.24,129.77,133.07,122.690807,5553966,0,1
2021-03-24,172,130.95,132.11,130.57,130.62,120.4319021,4005027,0,1
2021-03-23,173,130.44,131.56,129.8,130.46,120.2843818,4356359,0,1
2021-03-22,174,128.5,130.72,127.89,130.55,120.367362,4164914,0,1
2021-03-19,175,130.02,130.44,128.53,128.9,118.8460587,9844983,0,1
2021-03-18,176,128.94,130.995,127.79,130.06,119.915581,5835669,0,1
2021-03-17,177,128.46,129.49,127.49,129.03,118.9659189,4291351,0,1
2021-03-16,178,128.28,128.52,127.34,128.24,118.2375374,4653178,0,1
2021-03-15,179,127.77,128.75,127.5401,128.58,118.551018,3421281,0,1
2021-03-12,180,127.19,127.68,126.61,127.61,117.6566761,4010100,0,1
2021-03-11,181,128.09,128.64,126.78,127.14,117.2233351,5146937,0,1
2021-03-10,182,125.05,128.24,124.61,127.87,117.8963966,7247807,0,1
2021-03-09,183,125.4,126.43,124.16,124.18,114.4942092,5609029,0,1
2021-03-08,184,122.99,126.85,122.88,124.81,115.0750705,7239191,0,1
2021-03-05,185,120.64,123.75,120.25,122.83,113.2495065,6949265,0,1
2021-03-04,186,122,123.22,118.755,120.11,110.741661,8068492,0,1
2021-03-03,187,120.5,122.634,119.98,122.36,112.8161656,7404269,0,1
2021-03-02,188,120.74,121.9,120.26,120.33,110.9445015,4524299,0,1
2021-03-01,189,120.35,122.32,119.8649,120.74,111.3225223,5715767,0,1
